category_code,category_id,avg_forecast_demand,last_7d_avg_before_dec,dominant_alert_status
furniture.living_room.chair,2.05301E+18,14.02,11.57,Stable
auto.accessories.compressor,2.16509E+18,13.94,12.57,Stable
computers.components.cooler,2.05301E+18,13.66,8.57,Stable
construction.tools.pump,2.05301E+18,11.92,7.57,Stable
sport.bicycle,2.11691E+18,11.73,11.71,Stable
appliances.kitchen.steam_cooker,2.05301E+18,10.53,5.14,Overstock Risk
kids.toys,2.05301E+18,9.93,8.14,Stable
electronics.tablet,2.05301E+18,9.38,7.86,Stable
furniture.kitchen.table,2.10006E+18,9,5,Overstock Risk
sport.trainer,2.05301E+18,8.99,5.43,Stable
computers.peripherals.mouse,2.05301E+18,8.87,6.71,Stable
furniture.bedroom.blanket,2.05301E+18,8.81,5.71,Stable
furniture.bathroom.toilet,2.05301E+18,8.66,4.14,Overstock Risk
apparel.costume,2.08496E+18,7.8,3.71,Overstock Risk
appliances.kitchen.kettle,2.09628E+18,7.78,6.57,Stable
electronics.camera.photo,2.05301E+18,7.74,4.14,Stable
electronics.audio.acoustic,2.05301E+18,7.6,5.29,Stable
furniture.bedroom.pillow,2.05301E+18,7.25,3.57,Overstock Risk
computers.desktop,2.05301E+18,7.18,3.71,Overstock Risk
furniture.bathroom.bath,2.05301E+18,7.18,2.57,Overstock Risk
computers.notebook,2.10909E+18,6.71,3.86,Overstock Risk
appliances.kitchen.coffee_grinder,2.05301E+18,6.31,6.43,Stable
accessories.bag,2.13915E+18,6.12,4.14,Stable
stationery.cartrige,2.05301E+18,5.52,4.29,Stable
kids.skates,2.05301E+18,4.96,4,Stable
electronics.video.projector,2.05301E+18,4.88,2,Overstock Risk
electronics.video.tv,2.05301E+18,4.55,3,Stable
apparel.jeans,2.10083E+18,4.5,3.14,Stable
apparel.shoes.keds,2.05301E+18,4.23,2,Overstock Risk
apparel.shoes,2.11691E+18,4.22,2.71,Overstock Risk
accessories.bag,2.05516E+18,3.82,3.57,Stable
apparel.shoes,2.05301E+18,3.81,2.71,Stable
construction.tools.painting,2.12743E+18,3.61,2.71,Stable
apparel.jeans,2.14666E+18,3.52,2.14,Overstock Risk
apparel.tshirt,2.09782E+18,3.37,1.71,Overstock Risk
appliances.environment.vacuum,2.13491E+18,3.31,2.86,Stable
apparel.underwear,2.07001E+18,3.26,2,Stable
accessories.bag,2.12668E+18,0.57,2,Understock Risk
appliances.environment.vacuum,2.09097E+18,-1.35,1.57,Understock Risk
