k,inertia,silhouette,inertia_pct_drop
2,250219.35837174425,0.3406222947895087,
3,211185.75973511193,0.33862509463052876,15.599751710113951
4,173328.730391132,0.3179635889921143,17.925938468324564
5,147159.4974359349,0.285985561194667,15.098035332136718
6,123892.0067676789,0.3021998830190594,15.811069671792932
7,108018.43892436009,0.29320372743128326,12.812422897535903
8,95475.75257312744,0.31335775933059873,11.611616013091686
